
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
028: 262144 39.50
029: 262144 39.50
030: 262144 39.50
031: 262144 39.50
032: 262144 39.49
033: 262144 39.54
034: 262144 39.48
035: 262144 39.52
036: 262144 39.49
037: 262144 39.55
038: 262144 39.48
039: 262144 39.50
040: 262144 39.50
041: 262144 39.49
042: 262144 39.48
043: 262144 39.50
044: 262144 39.47
045: 262144 39.50
262144                 31.76
000: 524288 75.61
001: 524288 43.99
002: 524288 43.99
003: 524288 43.99
004: 524288 43.98
005: 524288 43.99
006: 524288 43.98
007: 524288 44.05
008: 524288 43.99
009: 524288 43.97
010: 524288 44.05
011: 524288 43.98
012: 524288 45.07
013: 524288 43.97
014: 524288 43.99
015: 524288 43.98
016: 524288 43.98
017: 524288 43.99
018: 524288 43.99
019: 524288 43.99
020: 524288 43.98
021: 524288 43.99
022: 524288 43.98
023: 524288 43.98
024: 524288 74.18
025: 524288 74.53
026: 524288 74.20
027: 524288 74.18
028: 524288 74.19
029: 524288 74.18
030: 524288 74.21
031: 524288 74.19
032: 524288 74.19
033: 524288 74.19
034: 524288 74.18
035: 524288 74.21
036: 524288 74.19
037: 524288 74.22
038: 524288 74.18
039: 524288 74.19
040: 524288 74.19
041: 524288 74.19
042: 524288 74.18
043: 524288 74.18
044: 524288 74.18
045: 524288 74.17
524288                 59.15
000: 1048576 193.05
001: 1048576 127.55
002: 1048576 126.89
003: 1048576 129.55
004: 1048576 128.78
005: 1048576 129.12
006: 1048576 129.83
007: 1048576 127.55
008: 1048576 126.98
009: 1048576 128.88
010: 1048576 128.49
011: 1048576 126.80
012: 1048576 127.62
013: 1048576 128.19
014: 1048576 127.17
015: 1048576 127.00
016: 1048576 130.94
017: 1048576 127.45
018: 1048576 128.11
019: 1048576 129.06
020: 1048576 128.81
021: 1048576 130.90
022: 1048576 127.14
023: 1048576 129.76
024: 1048576 191.66
025: 1048576 191.03
026: 1048576 191.01
027: 1048576 190.99
028: 1048576 191.00
029: 1048576 190.97
030: 1048576 191.36
031: 1048576 190.94
032: 1048576 190.76
033: 1048576 190.99
034: 1048576 190.84
035: 1048576 191.11
036: 1048576 191.24
037: 1048576 191.05
038: 1048576 190.68
039: 1048576 191.09
040: 1048576 191.07
041: 1048576 190.89
042: 1048576 190.91
043: 1048576 191.90
044: 1048576 191.61
045: 1048576 191.44
1048576               159.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 1.80
001: 1 0.41
002: 1 0.41
003: 1 0.42
004: 1 0.42
005: 1 0.41
006: 1 0.42
007: 1 0.41
008: 1 0.41
009: 1 0.42
010: 1 0.42
011: 1 0.42
012: 1 0.43
013: 1 0.42
014: 1 0.41
015: 1 0.44
016: 1 0.43
017: 1 0.42
018: 1 0.43
019: 1 0.42
020: 1 0.43
021: 1 0.42
022: 1 0.44
023: 1 0.42
