
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
018: 256 0.24
019: 256 0.24
020: 256 0.24
021: 256 0.24
256                     0.27
000: 512 1.07
001: 512 0.41
002: 512 0.39
003: 512 0.40
004: 512 0.39
005: 512 0.40
006: 512 0.40
007: 512 0.40
008: 512 0.39
009: 512 0.39
010: 512 0.40
011: 512 0.40
012: 512 0.40
013: 512 0.39
014: 512 0.40
015: 512 0.40
016: 512 0.40
017: 512 0.40
018: 512 0.40
019: 512 0.40
020: 512 0.40
021: 512 0.39
512                     0.43
000: 1024 1.33
001: 1024 0.43
002: 1024 0.42
003: 1024 0.42
004: 1024 0.43
005: 1024 0.43
006: 1024 0.43
007: 1024 0.43
008: 1024 0.42
009: 1024 0.43
010: 1024 0.44
011: 1024 0.43
012: 1024 0.40
013: 1024 0.44
014: 1024 0.43
015: 1024 0.43
016: 1024 0.44
017: 1024 0.43
018: 1024 0.42
019: 1024 0.44
020: 1024 0.42
021: 1024 0.44
1024                    0.47
000: 2048 1.33
001: 2048 0.59
002: 2048 0.58
003: 2048 0.60
004: 2048 0.60
005: 2048 0.58
006: 2048 0.57
007: 2048 0.60
008: 2048 0.59
009: 2048 0.57
010: 2048 0.59
011: 2048 0.59
012: 2048 0.57
013: 2048 0.60
014: 2048 0.58
015: 2048 0.59
016: 2048 0.59
017: 2048 0.60
018: 2048 0.60
019: 2048 0.60
020: 2048 0.60
021: 2048 0.60
2048                    0.62
000: 4096 1.58
001: 4096 0.82
002: 4096 0.81
003: 4096 0.82
004: 4096 0.83
005: 4096 0.85
006: 4096 0.85
007: 4096 0.81
008: 4096 0.82
009: 4096 0.83
010: 4096 0.85
011: 4096 0.84
012: 4096 0.81
013: 4096 0.87
014: 4096 0.86
015: 4096 0.85
016: 4096 0.85
017: 4096 0.82
018: 4096 0.82
019: 4096 0.83
020: 4096 0.82
021: 4096 0.81
4096                    0.87
000: 8192 2.17
001: 8192 1.36
002: 8192 1.34
003: 8192 1.37
004: 8192 1.37
005: 8192 1.37
006: 8192 1.35
007: 8192 1.38
008: 8192 1.39
009: 8192 1.37
010: 8192 1.37
011: 8192 1.37
012: 8192 1.36
013: 8192 1.38
014: 8192 1.36
015: 8192 1.35
016: 8192 1.36
017: 8192 1.37
018: 8192 1.39
019: 8192 1.35
020: 8192 1.37
021: 8192 1.38
8192                    1.40
000: 16384 3.25
001: 16384 2.47
002: 16384 2.45
003: 16384 2.45
004: 16384 2.45
005: 16384 2.44
006: 16384 2.44
007: 16384 2.46
008: 16384 2.41
009: 16384 2.44
010: 16384 2.40
011: 16384 2.43
012: 16384 2.44
013: 16384 2.46
014: 16384 2.45
015: 16384 2.42
016: 16384 2.45
017: 16384 2.47
018: 16384 2.44
019: 16384 2.40
020: 16384 2.40
021: 16384 2.46
16384                   2.47
000: 32768 6.19
001: 32768 4.87
002: 32768 4.83
003: 32768 4.81
004: 32768 4.82
005: 32768 4.85
006: 32768 4.80
007: 32768 4.83
008: 32768 4.80
009: 32768 4.81
010: 32768 4.87
011: 32768 4.80
012: 32768 4.83
013: 32768 4.82
014: 32768 4.77
015: 32768 4.83
016: 32768 5.07
017: 32768 4.80
018: 32768 4.77
019: 32768 4.82
020: 32768 4.76
021: 32768 4.81
32768                   4.89
000: 65536 9.09
001: 65536 8.35
002: 65536 8.31
003: 65536 8.25
004: 65536 8.04
005: 65536 8.30
006: 65536 8.26
007: 65536 8.17
008: 65536 8.36
009: 65536 8.29
010: 65536 8.36
011: 65536 8.30
012: 65536 8.37
013: 65536 8.34
014: 65536 8.30
015: 65536 7.85
016: 65536 8.36
017: 65536 8.31
018: 65536 8.33
019: 65536 8.33
020: 65536 8.17
021: 65536 8.24
65536                   8.30
000: 131072 15.83
001: 131072 14.82
002: 131072 15.04
003: 131072 14.88
004: 131072 14.19
005: 131072 14.91
006: 131072 14.82
007: 131072 14.43
008: 131072 15.02
009: 131072 14.94
010: 131072 14.93
011: 131072 14.54
012: 131072 15.02
013: 131072 15.02
014: 131072 14.95
015: 131072 14.19
016: 131072 15.02
017: 131072 14.99
018: 131072 15.00
019: 131072 15.02
020: 131072 14.85
021: 131072 14.87
131072                 14.88
000: 262144 26.17
001: 262144 24.77
002: 262144 25.13
003: 262144 25.24
004: 262144 24.38
005: 262144 23.86
006: 262144 25.43
007: 262144 25.12
008: 262144 25.44
009: 262144 24.84
010: 262144 25.43
011: 262144 24.69
012: 262144 25.08
013: 262144 25.11
014: 262144 25.45
015: 262144 23.92
016: 262144 25.51
017: 262144 23.50
018: 262144 24.86
019: 262144 25.16
020: 262144 24.69
021: 262144 24.55
262144                 24.92
000: 524288 46.18
001: 524288 42.96
002: 524288 44.10
003: 524288 45.46
004: 524288 44.44
005: 524288 41.88
006: 524288 45.03
007: 524288 44.76
008: 524288 42.24
009: 524288 42.68
010: 524288 41.96
011: 524288 44.49
012: 524288 41.91
013: 524288 41.92
014: 524288 41.98
015: 524288 42.95
016: 524288 44.91
017: 524288 41.89
018: 524288 42.88
019: 524288 44.76
020: 524288 41.98
021: 524288 44.39
524288                 43.44
000: 1048576 114.66
001: 1048576 113.60
002: 1048576 113.71
003: 1048576 113.73
004: 1048576 113.61
005: 1048576 113.60
006: 1048576 113.75
007: 1048576 113.46
008: 1048576 113.57
009: 1048576 113.57
010: 1048576 113.68
011: 1048576 113.67
012: 1048576 113.56
013: 1048576 113.53
014: 1048576 113.67
015: 1048576 113.79
016: 1048576 113.42
017: 1048576 113.65
